Series ID,Year,Period,Label,Value
LASST120000000000003,2021,M04,2021 Apr,5.1
LASST120000000000003,2021,M05,2021 May,4.9
LASST120000000000003,2021,M06,2021 Jun,4.8
LASST120000000000003,2021,M07,2021 Jul,4.5
LASST120000000000003,2021,M08,2021 Aug,4.3
LASST120000000000003,2021,M09,2021 Sep,3.9
LASST120000000000003,2021,M10,2021 Oct,3.7
LASST120000000000003,2021,M11,2021 Nov,3.5
LASST120000000000003,2021,M12,2021 Dec,3.5
LASST120000000000003,2022,M01,2022 Jan,3.5
LASST120000000000003,2022,M02,2022 Feb,3.3
LASST120000000000003,2022,M03,2022 Mar,3.2
LASST120000000000003,2022,M04,2022 Apr,3.0
LASST120000000000003,2022,M05,2022 May,2.9
LASST120000000000003,2022,M06,2022 Jun,2.8
LASST120000000000003,2022,M07,2022 Jul,2.7
LASST120000000000003,2022,M08,2022 Aug,2.7
LASST120000000000003,2022,M09,2022 Sep,2.5
LASST120000000000003,2022,M10,2022 Oct,2.7
LASST130000000000003,2020,M01,2020 Jan,3.5
LASST130000000000003,2020,M02,2020 Feb,3.6
LASST130000000000003,2020,M03,2020 Mar,3.7
LASST130000000000003,2020,M04,2020 Apr,12.3
LASST130000000000003,2020,M05,2020 May,9.6
LASST130000000000003,2020,M06,2020 Jun,8.4
LASST130000000000003,2020,M07,2020 Jul,7.7
LASST130000000000003,2020,M08,2020 Aug,6.9
LASST130000000000003,2020,M09,2020 Sep,6.4
LASST130000000000003,2020,M10,2020 Oct,5.6
LASST130000000000003,2020,M11,2020 Nov,5.3
LASST130000000000003,2020,M12,2020 Dec,5.1
LASST130000000000003,2021,M01,2021 Jan,4.8
LASST130000000000003,2021,M02,2021 Feb,4.6
LASST130000000000003,2021,M03,2021 Mar,4.4
LASST130000000000003,2021,M04,2021 Apr,4.3
LASST130000000000003,2021,M05,2021 May,4.1
LASST130000000000003,2021,M06,2021 Jun,4.0
LASST130000000000003,2021,M07,2021 Jul,3.9
LASST130000000000003,2021,M08,2021 Aug,3.7
LASST130000000000003,2021,M09,2021 Sep,3.5
LASST130000000000003,2021,M10,2021 Oct,3.4
LASST130000000000003,2021,M11,2021 Nov,3.3
LASST130000000000003,2021,M12,2021 Dec,3.3
LASST130000000000003,2022,M01,2022 Jan,3.2
LASST130000000000003,2022,M02,2022 Feb,3.2
LASST130000000000003,2022,M03,2022 Mar,3.1
LASST130000000000003,2022,M04,2022 Apr,3.1
LASST130000000000003,2022,M05,2022 May,3.0
LASST130000000000003,2022,M06,2022 Jun,2.9
LASST130000000000003,2022,M07,2022 Jul,2.8
LASST130000000000003,2022,M08,2022 Aug,2.8
LASST130000000000003,2022,M09,2022 Sep,2.8
LASST130000000000003,2022,M10,2022 Oct,2.9
LASST150000000000003,2020,M01,2020 Jan,2.1
LASST150000000000003,2020,M02,2020 Feb,2.2
LASST150000000000003,2020,M03,2020 Mar,2.2
LASST150000000000003,2020,M04,2020 Apr,22.4
LASST150000000000003,2020,M05,2020 May,20.9
LASST150000000000003,2020,M06,2020 Jun,17.7
LASST150000000000003,2020,M07,2020 Jul,16.2
LASST150000000000003,2020,M08,2020 Aug,13.9
LASST150000000000003,2020,M09,2020 Sep,14.2
LASST150000000000003,2020,M10,2020 Oct,12.1
LASST150000000000003,2020,M11,2020 Nov,10.8
LASST150000000000003,2020,M12,2020 Dec,9.8
LASST150000000000003,2021,M01,2021 Jan,8.3
LASST150000000000003,2021,M02,2021 Feb,7.3
LASST150000000000003,2021,M03,2021 Mar,6.6
LASST150000000000003,2021,M04,2021 Apr,6.3
LASST150000000000003,2021,M05,2021 May,5.9
LASST150000000000003,2021,M06,2021 Jun,5.9
LASST150000000000003,2021,M07,2021 Jul,5.5
LASST150000000000003,2021,M08,2021 Aug,5.3
LASST150000000000003,2021,M09,2021 Sep,4.8
LASST150000000000003,2021,M10,2021 Oct,4.7
LASST150000000000003,2021,M11,2021 Nov,4.4
LASST150000000000003,2021,M12,2021 Dec,4.3
LASST150000000000003,2022,M01,2022 Jan,4.3
LASST150000000000003,2022,M02,2022 Feb,4.2
LASST150000000000003,2022,M03,2022 Mar,4.1
LASST150000000000003,2022,M04,2022 Apr,4.1
LASST150000000000003,2022,M05,2022 May,4.1
LASST150000000000003,2022,M06,2022 Jun,4.2
LASST150000000000003,2022,M07,2022 Jul,4.0
LASST150000000000003,2022,M08,2022 Aug,4.0
LASST150000000000003,2022,M09,2022 Sep,3.5
LASST150000000000003,2022,M10,2022 Oct,3.4
LASST160000000000003,2020,M01,2020 Jan,3.0
LASST160000000000003,2020,M02,2020 Feb,3.0
LASST160000000000003,2020,M03,2020 Mar,2.8
LASST160000000000003,2020,M04,2020 Apr,11.8
LASST160000000000003,2020,M05,2020 May,8.9
LASST160000000000003,2020,M06,2020 Jun,7.3
LASST160000000000003,2020,M07,2020 Jul,6.3
LASST160000000000003,2020,M08,2020 Aug,5.3
LASST160000000000003,2020,M09,2020 Sep,4.8
LASST160000000000003,2020,M10,2020 Oct,4.3
LASST160000000000003,2020,M11,2020 Nov,4.2
LASST160000000000003,2020,M12,2020 Dec,4.2
LASST160000000000003,2021,M01,2021 Jan,4.0
LASST160000000000003,2021,M02,2021 Feb,4.0
LASST160000000000003,2021,M03,2021 Mar,3.9
LASST160000000000003,2021,M04,2021 Apr,3.8
LASST160000000000003,2021,M05,2021 May,3.7
LASST160000000000003,2021,M06,2021 Jun,3.7
LASST160000000000003,2021,M07,2021 Jul,3.6
LASST160000000000003,2021,M08,2021 Aug,3.5
LASST160000000000003,2021,M09,2021 Sep,3.4
LASST160000000000003,2021,M10,2021 Oct,3.2
LASST160000000000003,2021,M11,2021 Nov,3.2
LASST160000000000003,2021,M12,2021 Dec,3.1
LASST160000000000003,2022,M01,2022 Jan,3.0
LASST160000000000003,2022,M02,2022 Feb,2.8
LASST160000000000003,2022,M03,2022 Mar,2.7
LASST160000000000003,2022,M04,2022 Apr,2.6
LASST160000000000003,2022,M05,2022 May,2.5
LASST160000000000003,2022,M06,2022 Jun,2.5
LASST160000000000003,2022,M07,2022 Jul,2.6
LASST160000000000003,2022,M08,2022 Aug,2.7
LASST160000000000003,2022,M09,2022 Sep,2.8
LASST160000000000003,2022,M10,2022 Oct,2.9
LASST170000000000003,2020,M01,2020 Jan,3.7
LASST170000000000003,2020,M02,2020 Feb,3.8
LASST170000000000003,2020,M03,2020 Mar,4.9
LASST170000000000003,2020,M04,2020 Apr,17.4
LASST170000000000003,2020,M05,2020 May,14.5
LASST170000000000003,2020,M06,2020 Jun,12.7
LASST170000000000003,2020,M07,2020 Jul,11.5
LASST170000000000003,2020,M08,2020 Aug,9.8
LASST170000000000003,2020,M09,2020 Sep,9.0
LASST170000000000003,2020,M10,2020 Oct,8.1
LASST170000000000003,2020,M11,2020 Nov,7.7
LASST170000000000003,2020,M12,2020 Dec,7.5
LASST170000000000003,2021,M01,2021 Jan,7.1
LASST170000000000003,2021,M02,2021 Feb,6.9
LASST170000000000003,2021,M03,2021 Mar,6.7
LASST170000000000003,2021,M04,2021 Apr,6.6
LASST170000000000003,2021,M05,2021 May,6.5
LASST170000000000003,2021,M06,2021 Jun,6.5
LASST170000000000003,2021,M07,2021 Jul,6.2
LASST170000000000003,2021,M08,2021 Aug,6.0
LASST170000000000003,2021,M09,2021 Sep,5.5
LASST170000000000003,2021,M10,2021 Oct,5.3
LASST170000000000003,2021,M11,2021 Nov,5.1
LASST170000000000003,2021,M12,2021 Dec,5.1
LASST170000000000003,2022,M01,2022 Jan,5.0
LASST170000000000003,2022,M02,2022 Feb,4.8
LASST170000000000003,2022,M03,2022 Mar,4.7
LASST170000000000003,2022,M04,2022 Apr,4.6
LASST170000000000003,2022,M05,2022 May,4.6
LASST170000000000003,2022,M06,2022 Jun,4.5
LASST170000000000003,2022,M07,2022 Jul,4.4
LASST170000000000003,2022,M08,2022 Aug,4.5
LASST170000000000003,2022,M09,2022 Sep,4.5
LASST170000000000003,2022,M10,2022 Oct,4.6
LASST180000000000003,2020,M01,2020 Jan,3.4
LASST180000000000003,2020,M02,2020 Feb,3.4
LASST180000000000003,2020,M03,2020 Mar,3.5
LASST180000000000003,2020,M04,2020 Apr,16.8
LASST180000000000003,2020,M05,2020 May,12.3
LASST180000000000003,2020,M06,2020 Jun,10.2
LASST180000000000003,2020,M07,2020 Jul,8.8
LASST180000000000003,2020,M08,2020 Aug,7.2
LASST180000000000003,2020,M09,2020 Sep,6.3
LASST180000000000003,2020,M10,2020 Oct,5.5
LASST180000000000003,2020,M11,2020 Nov,5.1
LASST180000000000003,2020,M12,2020 Dec,4.8
LASST180000000000003,2021,M01,2021 Jan,4.5
LASST180000000000003,2021,M02,2021 Feb,4.3
LASST180000000000003,2021,M03,2021 Mar,4.2
LASST180000000000003,2021,M04,2021 Apr,4.1
LASST180000000000003,2021,M05,2021 May,4.0
LASST180000000000003,2021,M06,2021 Jun,3.9
LASST180000000000003,2021,M07,2021 Jul,3.7
LASST180000000000003,2021,M08,2021 Aug,3.4
LASST180000000000003,2021,M09,2021 Sep,3.1
LASST180000000000003,2021,M10,2021 Oct,2.8
LASST180000000000003,2021,M11,2021 Nov,2.7
LASST180000000000003,2021,M12,2021 Dec,2.7
